"Category,Type,Content"
"Audit/Certification,Plan,""[Site]: will conduct <Audit> on <Date>."""
"Audit/Certification,Result,""[Site]: <Audit> was conducted on <Date>, <Result>."""
"Customer Visit/VOC,Plan,""[Site]: <Customer[/OEM]> plans to visit <Site> on <Date> for <Purpose>."""
"Customer Visit/VOC,Result,""[Site]: <Customer[/OEM]> visited <Site> on <DateRange> for <Purpose>, <Outcome>."""
"Customer Request,Plan,""[Site]: <Customer> <UrgentVerb> <Site> to <Action> <Tier1/OEM> <Product> <Task> on <Date>; CQE <Role>, plan to <NextStep> on <NextDate>."""
"Customer Request,Result,""[Site]: <Customer> <UrgentVerb(past)> <Site> to <Action> <Tier1/OEM> <Product> <Task> on <Date>; CQE <Action>, <CompletionStatus>."""
"Complaints,IQC/VLRR/0KM/FR,""[Site] [Category]: <Customer> reported (<Project>) <Product> <Defect> *<Qty> pcs in <Location> on <Date>; <Follow-up actions>."""
"Improvement/Closure,NA,""[Site]: <Task> -- <Date> <Status>."""
"Ongoing Activity,NA,""[Site]: <Project>: <Action> from <StartDate> – <Status>."""
"New Project Kick-off,NA,""[Site]: <Customer>/<Product> (<ProjectName>) kicked off on <Date>; <Status>."""
"People Development,NA,""[Dept]: <Training> from <DateRange>; <Person> <Result>."""
"Rule,Notes,""Complaint quantity format must be '*<Qty> pcs'; project name is the Chinese location in parentheses; avoid 'keep tracking'; if missing data, mark '⚠ Missing:'; location precedes date when both exist."""
